COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Saccharina lattissima	5	19/05/2021	2021	1	1	958	479	0.5	958
A CORUÑA	Saccharina lattissima	5	20/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Codium spp.	5	21/05/2021	2021	1	1	690	690	1	690
A CORUÑA	Saccharina lattissima	5	25/05/2021	2021	1	1	962	481	0.5	962
A CORUÑA	Saccharina lattissima	5	26/05/2021	2021	1	1	977	488.5	0.5	977
A CORUÑA	Saccharina lattissima	5	31/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Saccharina lattissima	6	28/06/2021	2021	1	1	149	14.9	0.1	149
A CORUÑA	Saccharina lattissima	6	28/06/2021	2021	1	1	149	14.9	0.1	149
A CORUÑA	Saccharina lattissima	6	28/06/2021	2021	1	1	149	14.9	0.1	149
A CORUÑA	Saccharina lattissima	5	23/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	26/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	27/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	30/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	31/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	23/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	26/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	27/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	30/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	31/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	23/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	26/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	27/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	30/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	31/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	23/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	26/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	27/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	30/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	5	31/05/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	01/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	06/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	07/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	08/06/2022	2022	1	1	1,000.00	600	0.6	1000
